hotel,cafe_da_manha_incluido,piscina,spa,pesca,ar_condicionado,merguho,trilha_a_pe,hidromassagem,wifi_gratuito,recarga_veiculo_eletrico,academia,pets,cadeira_de_rodas,banheira,praia,sauna,vista_para_o_mar,servico_de_quarto,jacuzzi,com_rstaurante,estacionamento
jubarte hotel by insólito,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casas brancas boutique hotel & spa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insólito boutique hotel & spa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suítes brisa mar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vila do sossego,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada onda carioca,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa temporada praia do peró,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flat solife 3 cabo friobúzios,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada do luar cabo frio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento de temporada em cabo frio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa flora,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"apartamento de luxo, 3 quartos, cabo friorj",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ótima casa com piscina, sauna e churrasqueira",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temporada cabo frio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada jataí,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lindo 3qts piscina ar entre praia do forte ecentro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ilha marinas do canal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento a duas quadras da praia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sand beach,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambiente familiar, área nobre, próximo a praia.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bragança's houses,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
praia das dunas residence club,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa de temporada em cabo frio arraial do cabo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vila das dunas aluguel de temporada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
praia do foguete aluguel econômico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada sun victory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
